Number Name Size Length Width Height OriginalFrameCount SettingFrameCount OriginalFrameRate SettingFrameRate Time
33 c1b46ff8-d2c0-455c-a8bd-c6dcbb3df847.mp4 4276571832 1123.4 2560 1920 33702 1123 30.0 1.0 0.40
34 df403c1d-f966-4480-88a4-47dfe2d983db.mp4 592426368 1048.87 1920 1080 31466 1048 30.0 1.0 0.22
35 39084eac-b417-4e93-9a43-351c319ddc36.mp4 60433273 76.57 1920 1080 2297 76 30.0 1.0 0.26
36 a97a7618-b5cc-4bce-a082-3b64d09a5bed.mp4 366823514 531.6 1920 1440 15948 531 30.0 1.0 0.28
37 fc9824ed-63c1-4844-a80a-2c223d4ff7c1.mp4 4044034845 2508.47 1920 1440 75254 2508 30.0 1.0 0.69
38 ac175e0d-322e-4de2-8024-cd5e3337af55.mp4 381510141 4385.45 1440 1080 131563 4385 30.0 1.0 0.45
39 72792612-73d1-482e-8717-1997466968b4.mp4 140558353 240.3 1440 1080 7209 240 30.0 1.0 0.38
40 ec3f2fa8-babe-4407-97bc-8fe8f1ee27be.mp4 110407032 469.1 1920 1080 14073 469 30.0 1.0 0.19
41 b9224863-0bac-4485-a7c0-2589477602b6.mp4 345432503 626.5 1920 1080 18795 626 30.0 1.0 0.23
42 6767f3a8-9a7e-4978-8939-5a988bd44c7e.mp4 350191138 661.43 1920 1080 19842 661 30.0 1.0 0.24
43 2585a941-c5d8-4f3c-be08-b7b9772f9d21.mp4 796857218 1727.73 1920 1080 51831 1727 30.0 1.0 0.23
44 5938b2fb-70a3-4303-827b-4e9de1541ccd.mp4 328108402 1055.8 1920 1080 31674 1055 30.0 1.0 0.21
45 fe9e3c72-b4f0-4e0c-862f-cc9edb146f27.mp4 84604574 489.9 1440 1080 14697 489 30.0 1.0 0.32
46 5cf98bc1-012f-482d-86ee-9337d8747dce.mp4 3025286719 7652.93 1920 1080 229587 7652 30.0 1.0 0.28
47 18f5c2be-cb79-46fa-8ff1-e03b7e26c986.mp4 313316842 658.3 1920 1440 19749 658 30.0 1.0 0.46
48 2680068d-b3ae-42d8-971f-e842c2d4fbb4.mp4 504575061 1406.59 1920 1080 42197 1406 30.0 1.0 0.45
49 c957ff4a-780f-4219-a32f-cd8db7fed87b.mp4 238571912 1127.23 1440 1080 33816 1127 30.0 1.0 0.19
50 f277b970-9a30-467e-9f2f-bc8b36b7c259.mp4 36068558 162.1 1440 1080 4863 162 30.0 1.0 0.20
51 adb9100b-45da-449a-94b1-ae29e107e4c5.mp4 1119671715 1688.04 1440 1080 50641 1688 30.0 1.0 0.62
52 e2dc9987-e3cf-4bb5-b887-967c8101ee6e.mp4 63565645 212.37 2560 1920 6371 212 30.0 1.0 0.32
53 1932d1b8-349c-4a7c-8773-12f7ba097e97.mp4 3095258260 4232.27 1440 1080 126968 4232 30.0 1.0 0.55
54 07536df6-9813-42d9-93df-35835407d8ee.mp4 384284871 511.2 1920 1080 15336 511 30.0 1.0 0.43
55 13a15553-2fdb-4d04-a7b4-2efc33538525.mp4 517171802 1509.59 1920 1080 45287 1509 30.0 1.0 0.49
56 a1fc8246-8509-4126-8e70-1f64126af2a2.mp4 175852249 2076.87 1920 1080 62306 2076 30.0 1.0 0.86
57 984fadaf-0d6e-4814-ac10-00f37c71322f.mp4 105736215 1148.89 1440 1080 34466 1148 30.0 1.0 0.41
58 674ff45c-1a6b-40c1-a915-df844132144d.mp4 502518048 2944.93 1440 1080 88347 2944 30.0 1.0 0.48
59 c2e6d807-d903-4b64-98e1-2c07ca700c78.mp4 300506627 2092.8 1440 1080 62784 2092 30.0 1.0 0.42
60 77ef404e-543c-41df-941b-ffc2078cd579.mp4 6981099437 1863.3 2560 1920 55899 1863 30.0 1.0 0.49
61 7618b6a1-591e-4284-a5dd-df37723d08ad.mp4 306984429 1364.57 1920 1080 40937 1364 30.0 1.0 0.49
62 555fd6c1-f623-4c9a-892b-212f2a39c836.mp4 1184751923 954.9 1440 1080 28647 954 30.0 1.0 0.53
63 3e624af7-d3ae-4261-a832-75bdc2ad1ec8.mp4 377486308 815.2 1440 1080 24456 815 30.0 1.0 0.42
64 261edec2-f089-4a74-b25f-ddf32c92f90c.mp4 552562117 1903.63 1440 1080 57108 1903 30.0 1.0 0.20
65 331f59af-8122-498c-91e6-7cb01aa80d40.mp4 1995825039 802.3 1920 1440 24069 802 30.0 1.0 0.36
66 0e46fbae-ad10-4a8e-9f6e-1e79a63c0d06.mp4 143339321 347.9 1440 1080 10437 347 30.0 1.0 0.42
67 b700aae8-8350-44fe-be4c-cba85514aec0.mp4 77910204 193.13 1920 1440 5793 193 30.0 1.0 0.44
68 8ef40220-7911-4be9-830f-27d39fab8a15.mp4 902151597 1419.43 1920 1080 42582 1419 30.0 1.0 0.25
69 d025cc30-82a9-440e-bd2c-7f7351eefc41.mp4 545402406 1387.09 1920 1080 41612 1387 30.0 1.0 0.50
70 9632b0a9-cf21-4773-b95b-83aae9a23d0a.mp4 807241122 4041.7 1440 1080 121251 4041 30.0 1.0 0.23
71 4a091f2f-d14d-474f-b8a2-f7e2493d5cd4.mp4 1689850343 2328.8 1440 1080 69864 2328 30.0 1.0 0.53
72 c00d3596-99db-4ea7-9a65-57ab4319d640.mp4 1601579409 3315.64 1440 1080 99469 3315 30.0 1.0 0.50
73 37587828-ca8a-498e-b549-e6a0cc7e26da.mp4 15396589571 3131.7 2560 1920 93951 3131 30.0 1.0 0.52
74 fd969272-15a3-46b3-a911-c47e923e8dc9.mp4 42686465 168.0 1440 1080 5040 168 30.0 1.0 0.42
75 5d12cf77-b15b-4199-9e99-341a12c88d60.mp4 3750463 52.37 1440 1080 1571 52 30.0 1.0 0.32
76 21557ceb-44eb-485b-9adf-64842882366d.mp4 335187504 1603.13 1440 1080 48093 1603 30.0 1.0 0.40
77 a7a066de-a019-47ec-8671-ade0d408e677.mp4 514161691 1465.43 1920 1080 43962 1465 30.0 1.0 0.48
78 28d73c89-e96d-4296-876a-329f908aeac6.mp4 282035766 789.37 1440 1080 23681 789 30.0 1.0 0.42
79 4930cced-9b84-464e-88ce-3990188efed6.mp4 883048403 1800.13 1920 1080 54003 1800 30.0 1.0 0.48
80 cfedeee7-8e41-4390-9bf9-f253dd2bfa45.mp4 120036005 1058.09 1440 1080 31742 1058 30.0 1.0 0.75
81 ea6260a1-c445-4e13-a446-b082f1c12779.mp4 514855429 1558.87 1920 1080 46766 1558 30.0 1.0 0.48
82 6ca4430b-6602-44c8-883a-b93bf77f447f.mp4 87222452 490.37 1440 1080 14711 490 30.0 1.0 0.39
83 c27e0450-b7b3-4f8e-9d5d-5e4c8d06c675.mp4 78973025 412.17 1440 1080 12365 412 30.0 1.0 0.40
84 3c62f5e0-0afc-48e9-b248-4aae1af552cf.mp4 44523390 568.5 1440 1080 17055 568 30.0 1.0 0.18
85 332c3b32-7fd3-42f7-97dc-04daee745978.mp4 70088344 115.8 2560 1920 3474 115 30.0 1.0 0.36
86 95632b4a-81f6-411f-aa1b-adcf8d8b8f08.mp4 349496445 708.01 1920 1440 21240 708 30.0 1.0 0.56
87 a099dca1-4be0-4edb-9de2-a429b45bbf42.mp4 454614078 690.07 2560 1920 20702 690 30.0 1.0 0.43
88 ed1e7c2d-970b-4773-b945-1df0061b677d.mp4 389883990 962.47 1920 1440 28874 962 30.0 1.0 0.46
89 92ad7536-af93-4cd5-bf87-fc2829a460a2.mp4 805897786 1800.13 1920 1080 54003 1800 30.0 1.0 0.50
90 85e88c3e-e332-4287-87e2-b93b50880bc7.mp4 416321563 1736.9 1440 1080 52107 1736 30.0 1.0 0.42
91 45e97c39-510e-48cf-adbf-d768b67e6d62.mp4 295133215 558.77 2560 1920 16763 558 30.0 1.0 0.35
92 33398391-5740-4077-9e02-d635e6ca4267.mp4 52231065 126.14 1920 1440 3784 126 30.0 1.0 0.46
93 fe058f9c-d653-488f-897e-125040d12cf6.mp4 104963414 813.33 1440 1080 24399 813 30.0 1.0 0.20
94 3827b055-911f-4aff-8a00-7c92280faa1f.mp4 815173389 1910.13 1920 1440 57303 1910 30.0 1.0 0.71
95 bcac27c1-246b-4e30-9231-33281f02b2fa.mp4 54485399 442.84 1440 1080 13285 442 30.0 1.0 0.41
96 3005b4c5-5f20-4190-af07-4a65ebb478ed.mp4 209584402 452.13 1920 1080 13563 452 30.0 1.0 0.50
97 45cb1d23-8a60-4c55-af01-1424b50fb9a7.mp4 235758835 1243.53 1440 1080 37305 1243 30.0 1.0 0.43
98 e7273d32-46d0-4fb4-a7a6-32ab94855a9a.mp4 22548261 80.53 1920 1440 2415 80 30.0 1.0 0.29
99 b4bf8c95-05fc-4d20-bc7f-5c8e9e63f141.mp4 468982020 983.37 1920 1440 29501 983 30.0 1.0 0.28
100 5b90f27b-9ffe-4f83-829a-fae68245bf09.mp4 690047650 2414.02 1920 1440 72420 2414 30.0 1.0 0.58
101 47951984-e8da-4109-8687-3092b895c96b.mp4 146149318 443.59 1280 720 13307 443 30.0 1.0 0.35
102 c4c79d50-b7a3-4f36-be1b-ea3d0cb41f22.mp4 57927297 346.77 1440 1080 10403 346 30.0 1.0 0.32
103 11b8d1e2-17e5-414a-aede-365d6cc652e1.mp4 634544767 1800.03 1920 1080 54000 1800 30.0 1.0 0.51
104 4c53aaac-76f0-4874-ab1c-738286b9698e.mp4 724555755 1741.57 1920 1080 52247 1741 30.0 1.0 0.53
105 57ee481e-2386-4a28-8d4c-ed8c9bdf08d8.mp4 146814779 1234.93 1440 1080 37047 1234 30.0 1.0 0.84
106 4208953c-0041-4a10-94d9-83adfae7df1f.mp4 37927663 162.57 2560 1920 4877 162 30.0 1.0 0.37
107 1be6719e-73c3-4406-83d0-69f40da57218.mp4 28976325 146.03 1440 1080 4380 146 30.0 1.0 0.39
108 5122adb8-0559-4f92-8077-4a99463ca09d.mp4 216804953 1950.22 1440 1080 58506 1950 30.0 1.0 0.43
109 e69feb83-dca8-4c43-b401-a599533078b4.mp4 410752918 1735.72 1920 1080 52071 1735 30.0 1.0 0.49
110 d4d18fe2-2002-410e-8ee4-7851e8c9cf72.mp4 400001508 416.65999999999997 1440 1080 12499 416 30.0 1.0 0.50
111 27de8eef-27b5-431e-9c4b-668001a4d37c.mp4 18889014 219.4 1440 1080 6582 219 30.0 1.0 0.23
112 3761fbb4-3e0e-4b15-a277-fec95edacf04.mp4 1035702245 4721.67 1440 1080 141650 4721 30.0 1.0 0.59
113 3815a759-08ef-4f03-95ed-9d664e4f3d6c.mp4 296729771 471.9 1920 1440 14157 471 30.0 1.0 0.30
114 f26ca7c3-2dfe-4e74-be61-529635df723f.mp4 144607171 409.06 1920 1440 12271 409 30.0 1.0 0.48
115 2b62e7d6-bf1d-4c32-81d8-50d3f175f7bb.mp4 327280489 1232.6 1440 1080 36978 1232 30.0 1.0 0.47
116 cb76b40e-4212-4245-99a7-08798c420a09.mp4 140918712 216.2 1920 1080 6486 216 30.0 1.0 0.24
117 e5e2803e-4b07-4a8a-a9b7-d33477bd8b3e.mp4 149610594 1587.22 1440 1080 47616 1587 30.0 1.0 0.44
118 d79e0c09-86c5-4ff3-857c-be3d2fed303a.mp4 4523332431 2128.17 1920 1440 63845 2128 30.0 1.0 0.39
119 056220c6-3c5c-419d-87b2-286e8a3c0706.mp4 266296858 708.03 1920 1440 21240 708 30.0 1.0 0.49
120 0e2896f8-a883-4de0-9a06-9d8245dc43be.mp4 2415230884 743.13 2560 1920 22293 743 30.0 1.0 0.40
121 9f7bde63-efa3-4fc2-b8df-c888dbf8622a.mp4 66739035 77.03 1440 1080 2310 77 30.0 1.0 0.28
122 51211aef-2c3e-4e63-9f29-45fe1794797a.mp4 152221595 490.79 1920 1440 14723 490 30.0 1.0 0.50
123 9f5b658c-1958-4fa0-b67d-3b365c49b919.mp4 561796607 1688.73 1920 1440 50661 1688 30.0 1.0 0.58
124 02ca6897-bf08-4cfb-bbc7-7810dbf5cca2.mp4 3549495092 3138.47 1440 1080 94154 3138 30.0 1.0 0.31
125 19493340-9a5c-406c-9943-712a4a4a073c.mp4 598643632 819.33 2560 1920 24579 819 30.0 1.0 0.40
126 dd5214e7-85bb-41b4-93e0-5ef34b8af687.mp4 777349066 1566.47 1920 1440 46994 1566 30.0 1.0 0.27
127 9b221f93-19a9-4593-9187-049d9dedfcf0.mp4 8581588576 2670.67 2560 1920 80120 2670 30.0 1.0 0.43
128 02c40de9-2162-4b24-bf88-804fe630acfe.mp4 506512873 1412.29 1920 1080 42368 1412 30.0 1.0 0.48
129 e55b107b-7f7b-46f7-b769-6353dbecc7e7.mp4 304912963 1795.57 2560 1920 53867 1795 30.0 1.0 0.35
130 e77befb0-a4a7-42a9-bc22-8e1fdf56a6f6.mp4 2505811878 1501.15 2880 1080 45034 1501 30.0 1.0 0.70
131 a8ce8831-58e4-4c84-926e-8f948fc782a7.mp4 258663207 708.03 1920 1440 21240 708 30.0 1.0 0.51
132 a2c20908-2557-49af-b753-44764b441fb5.mp4 594406547 891.33 2880 1080 26739 891 30.0 1.0 1.08
133 f3869c7d-ba5a-4506-90c3-564bb81a4785.mp4 150939136 367.06 1920 1440 11011 367 30.0 1.0 0.47
134 ade1dba0-d84d-4f08-b599-ced63b6553ee.mp4 10344476 30.6 2560 1920 918 30 30.0 1.0 0.36
135 88bae242-7f3a-45d4-b129-5d69b1a1e15a.mp4 378470120 708.03 1920 1440 21240 708 30.0 1.0 0.49
136 cdfc50a2-22c4-4de7-bd24-4fe77cfdc0e6.mp4 195956945 1051.93 1920 1080 31557 1051 30.0 1.0 0.48
137 d79fde7f-2cb7-459d-a395-977ce9cd8f95.mp4 189634284 718.66 1440 1080 21559 718 30.0 1.0 0.43
138 eb13c363-43a0-486b-a23a-1e4a25201d90.mp4 5534399073 1063.13 2560 1920 31893 1063 30.0 1.0 0.53
139 38b6d0fe-e317-47a1-8fa3-87e7a4a21183.mp4 783600375 773.0 1920 1080 23190 773 30.0 1.0 0.32
140 0e715720-e51e-4f8e-963d-2b1445f38738.mp4 1187481852 1425.63 2880 1080 42768 1425 30.0 1.0 0.61
141 4a61f74b-f728-4ccb-a342-086dbcb3782f.mp4 156418471 528.41 1440 1080 15852 528 30.0 1.0 0.52
142 4002aa75-ce05-4be2-b136-83b5b4931ed9.mp4 39831248 279.8 1440 1080 8394 279 30.0 1.0 0.42
143 2c7fc799-1d40-49da-b5a2-213bac8ea420.mp4 583635387 940.67 1920 1440 28220 940 30.0 1.0 0.53
144 80f3dd0d-6ad9-4691-9de5-dc01a834bc0a.mp4 2876033739 1351.03 1920 1440 40530 1351 30.0 1.0 0.40
145 090042fc-0539-4a5b-b644-f3f6c8201711.mp4 1176561625 3394.73 1440 1080 101841 3394 30.0 1.0 0.29
146 8cf7f552-c1df-4482-8c0d-db17d098bf02.mp4 33971148 46.2 1920 1440 1386 46 30.0 1.0 0.31
147 50e6fd9e-e734-42c8-b9b1-78da26c2b3e9.mp4 89461742 732.0 1440 1080 21960 732 30.0 1.0 0.25
148 32991c95-5acb-4d1b-a142-98c2fe27cbfd.mp4 526982773 1633.72 1920 1080 49011 1633 30.0 1.0 0.53
149 793a9c9d-327e-4457-9c40-e626b2208aae.mp4 3954828 15.57 1440 1080 467 15 30.0 1.0 0.39
150 81fb9f8f-be18-4833-a899-4fbcef82a634.mp4 392681112 2435.86 1440 1080 73075 2435 30.0 1.0 0.48
151 102dc7b7-a8fb-419e-9a18-b679e7157d99.mp4 890746493 1578.9 1920 1080 47367 1578 30.0 1.0 0.57
152 bc90df5d-6204-4c89-9268-e94038432793.mp4 977155166 836.5 1440 1080 25095 836 30.0 1.0 0.59
153 61524734-7e24-4c7f-affe-33b1134a8700.mp4 475208429 1314.43 1920 1440 39432 1314 30.0 1.0 0.31
154 dedaa2ad-306d-47b3-a4c4-90b6b2c37e78.mp4 8570631432 12840.9 1920 1080 385227 12840 30.0 1.0 0.38
155 e54e1316-41ef-4367-9bf9-522be842f2d8.mp4 675559608 1434.02 1920 1080 43020 1434 30.0 1.0 0.52
156 d9eb1ae4-acee-457e-a0bf-b0e49b4576ce.mp4 1407475665 1146.12 1440 1080 34383 1146 30.0 1.0 0.61
157 5157296d-a7af-4155-a15c-8f61afc127b5.mp4 832849758 2834.51 1440 1080 85035 2834 30.0 1.0 0.53
158 32e01a58-ffd7-4f18-a399-6cd176f79fbd.mp4 47568282 403.15999999999997 1440 1080 12094 403 30.0 1.0 0.82
159 cb6239fb-c4ba-4e64-9e23-9a6a935568e5.mp4 127372906 671.56 1440 1080 20146 671 30.0 1.0 0.42
160 5e2f38da-cdb6-4cf7-a742-d8a3feb88624.mp4 1419134448 1501.0 2880 1080 45030 1501 30.0 1.0 0.65
161 283a15b5-59ae-4f04-9738-bf49c97496a8.mp4 415303940 1278.02 1920 1080 38340 1278 30.0 1.0 0.51
162 512ea4d8-4d83-4639-9f2f-3a8322cded49.mp4 831885499 2482.7 1920 1440 74481 2482 30.0 1.0 0.30
163 7020da7d-bc13-4272-ba46-5296f38c0c02.mp4 50537910 86.4 1920 1080 2592 86 30.0 1.0 0.48
164 d7f51e37-9858-489b-a57e-397fce7f6895.mp4 10488168 24.06 2880 1080 721 24 30.0 1.0 0.54
165 b97bcf48-6a53-4579-8345-2f3bc3d2d5ab.mp4 26064987 96.36 1440 1080 2890 96 30.0 1.0 0.42
166 cbcd0162-7288-460b-8de5-4a5bf55265d1.mp4 971184170 1063.13 2560 1920 31893 1063 30.0 1.0 0.41
167 b11fba74-4273-47af-8164-2a1a619d5b14.mp4 1614049762 1501.0 1440 2880 45030 1501 30.0 1.0 0.40
168 a2782998-77b3-47a5-ac62-ce483a420711.mp4 297712491 1598.37 1440 1080 47951 1598 30.0 1.0 0.23
169 71625ada-d649-41da-aa85-654a51418b93.mp4 1318287982 4347.27 1440 1080 130418 4347 30.0 1.0 0.28
170 070776bf-f15a-4b6e-a906-d1ef9e132592.mp4 1029248802 1263.13 1920 1080 37893 1263 30.0 1.0 0.29
171 062f1e55-67d8-4cdc-89c6-7fb361a9b0f9.mp4 731189505 1501.8 1920 1080 45054 1501 30.0 1.0 0.54
172 a021694e-a0a1-43e8-97e3-f4469e31d035.mp4 336426965 708.03 1920 1440 21240 708 30.0 1.0 0.54
173 f3479669-464f-43b9-b5ef-5ddf471be947.mp4 568610448 1702.44 1920 1080 51073 1702 30.0 1.0 0.51
174 de37a11d-1dcd-4f5b-9054-155093b3a073.mp4 5471618549 13783.93 1920 1080 413517 13783 30.0 1.0 0.37
175 2fb9573c-036a-49e1-9664-a17b04716b71.mp4 97492321 1220.57 1440 1080 36617 1220 30.0 1.0 0.47
176 433fb84b-4f39-4d31-9975-3185d8a9bac1.mp4 948448840 2006.68 1440 1080 60200 2006 30.0 1.0 0.53
177 facdbd7a-da79-48bd-9bb0-c866f675699b.mp4 550243874 1510.31 1920 1080 45309 1510 30.0 1.0 0.47
178 86c459ad-9f05-4e1c-9413-e545d0c9ce7f.mp4 283296806 1028.7 1920 1080 30861 1028 30.0 1.0 0.29
179 67cb31ac-4f88-4765-8806-d93276eda28a.mp4 568403585 1484.19 1920 1080 44525 1484 30.0 1.0 0.58
180 ba09fdc1-2f9d-4d88-b4fd-808c281a48bd.mp4 2243682976 1501.0 1440 2880 45030 1501 30.0 1.0 0.41
181 8491af2d-7226-4563-adcc-1e06da2cd763.mp4 301158443 883.5 1440 1080 26505 883 30.0 1.0 0.26
182 7cb7a77b-fe8f-45de-855a-cd39fa074815.mp4 68142823 155.31 1920 1440 4659 155 30.0 1.0 0.51
183 8d85aa58-438d-413c-b8b3-ae5417737c5c.mp4 677525476 4767.42 1440 1080 143022 4767 30.0 1.0 0.57
184 5a56333c-604c-4589-80ec-541b4d7d2164.mp4 408496061 1787.43 1440 1080 53622 1787 30.0 1.0 0.94
185 6052317d-10ff-4fb5-9219-e72510728c65.mp4 124094274 1063.13 2560 1920 31893 1063 30.0 1.0 0.36
186 3cf51686-2f14-4f60-ad68-d5766292b02a.mp4 457670165 1286.15 1920 1080 38584 1286 30.0 1.0 0.50
187 7aa79be1-ea25-4bda-a722-be65b1892236.mp4 470894219 1386.97 1920 1080 41609 1386 30.0 1.0 0.45
188 98fdad00-49db-478f-bc77-c7d06992882e.mp4 334219668 1257.64 1920 1440 37729 1257 30.0 1.0 0.48
189 49925bc0-d1f2-4623-891f-147641b0e94f.mp4 425884022 1208.18 1920 1080 36245 1208 30.0 1.0 0.57
190 fff5b8bd-1fc2-457b-9760-7691a7c1d095.mp4 493476574 1839.7 1920 1440 55191 1839 30.0 1.0 0.30
191 df50309a-215b-4038-9831-54cd981799de.mp4 327768437 572.97 1920 1440 17189 572 30.0 1.0 0.56
192 94ed2b0d-d41e-4792-874c-3f189975aa7c.mp4 7562397 12.87 1920 1080 386 12 30.0 1.0 0.33
193 20bb209c-a0c3-4e31-823e-e3c48e812f8a.mp4 2199081917 2081.3 1920 1440 62439 2081 30.0 1.0 0.41
194 97d0855b-f0b3-4435-badc-372b4e05a5d7.mp4 3588948655 1325.87 1440 2880 39776 1325 30.0 1.0 0.35
195 f6321d1b-99f3-485c-a947-89b90d0a5f5f.mp4 184257909 413.2 1920 1440 12396 413 30.0 1.0 0.30
196 db885468-85be-4432-8b70-d01cfb8c4528.mp4 42496526 15.0 1920 1440 450 15 30.0 1.0 0.34
197 8a489210-cca4-439d-90a9-8e0ca40c027c.mp4 133648540 489.07 1440 1080 14672 489 30.0 1.0 0.49
198 ac205f91-8511-4772-b0a3-6c6e1ec0925a.mp4 890969321 458.33 1440 1080 13749 458 30.0 1.0 0.62
199 8e5cb864-6170-40b4-a7c1-4550a402e1aa.mp4 190750457 992.67 2560 1920 29780 992 30.0 1.0 0.40
200 535745b5-fb95-485a-9cfc-a8f6b0159853.mp4 238593030 2116.16 1440 1080 63484 2116 30.0 1.0 0.50
201 c5c0dc6e-f414-490c-b9ec-1d36852e95d1.mp4 283051878 730.6 1440 1080 21918 730 30.0 1.0 0.25
202 575af33e-e30f-45e5-8913-4c682f3a6c52.mp4 140601817 624.1 1440 1080 18723 624 30.0 1.0 0.23
203 31818126-5e0f-4b01-b532-1514587bceec.mp4 828080021 1800.17 1920 1080 54005 1800 30.0 1.0 0.54
204 897e0050-26ad-4f2a-a82a-76f3764c741f.mp4 516180485 687.4 1920 1440 20622 687 30.0 1.0 0.30
205 65afadae-9410-43e5-a61d-ae75ae711e56.mp4 33869702 154.47 1440 1080 4634 154 30.0 1.0 0.44
206 67c8aca7-5073-4ccc-bdf1-10a8de2f437c.mp4 171260300 876.47 1440 1080 26294 876 30.0 1.0 0.47
207 6a1682a3-61c6-43a6-a413-4244b351946e.mp4 196288908 363.88 1920 1440 10916 363 30.0 1.0 0.53
208 770b0de4-9f4a-4c51-8b37-3c22fca3e6a6.mp4 1734045753 3588.03 1920 1080 107640 3588 30.0 1.0 0.55
209 4c45d8f4-e026-4ca3-a1e4-6d32da434469.mp4 395859150 2567.07 1440 1080 77012 2567 30.0 1.0 0.53
210 f081fe28-61ea-4e4f-a265-b2c5eacd029d.mp4 51630399 125.0 1920 1080 3750 125 30.0 1.0 0.25
211 8d17ec16-78f1-4ab3-a70a-c7a147702189.mp4 22135260 16.9 2560 1920 506 16 30.0 1.0 0.38
212 7d03c627-f1db-47da-94c9-103934259c06.mp4 656110597 1083.33 1920 1440 32499 1083 30.0 1.0 0.32
